,ID,IDADE,FAIXA IDADE,GENERO,COR/RACA/ETNIA,PCD,EXPERIENCIA_PROFISSIONAL_PREJUDICADA,PREJUDICA?,ASPECTOS_PREJUDICADOS,VIVE_NO_BRASIL,ESTADO ONDE MORA,UF ONDE MORA,REGIAO ONDE MORA,MUDOU DE ESTADO?,REGIAO DE ORIGEM,NIVEL DE ENSINO,ÁREA DE FORMAÇÃO,COMPUTAÇÃO?,QUAL SUA SITUAÇÃO ATUAL DE TRABALHO?,SETOR,NUMERO DE FUNCIONARIOS,GESTOR?,CARGO COMO GESTOR,CARGO ATUAL,NIVEL,FAIXA SALARIAL,QUANTO TEMPO DE EXPERIÊNCIA NA ÁREA DE DADOS VOCÊ TEM?,QUANTO TEMPO DE EXPERIÊNCIA NA ÁREA DE TI/ENGENHARIA DE SOFTWARE VOCÊ TEVE ANTES DE COMEÇAR A TRABALHAR NA ÁREA DE DADOS?,SALARIO
0,zzqzz3l9ily8nuo2m7wyzzqzz3w48o96,39,35-39,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,FALSE,,TRUE,Distrito Federal (DF),DF,Centro-oeste,0,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,TRUE,Servidor Público,Setor Público,Acima de 3.000,0,,DBA/Administrador de Banco de Dados,Júnior,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,de 7 a 10 anos,10000
1,zzls2oftfn9law393oezzls2ofhvfpzd,32,30-34,Masculino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",TRUE,Aprovação em processos seletivos/entrevistas,TRUE,Pará (PA),PA,Norte,1,,Graduação/Bacharelado,Outras Engenharias,FALSE,Empregado (CLT),Outra Opção,Acima de 3.000,1,Supervisor/Coordenador,,,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Menos de 1 ano,5000
2,zzdwqzfqqp1ypc7ps6m0hzzdwqz292yi,53,50-54,Masculino,Branca,Não,,FALSE,,TRUE,Distrito Federal (DF),DF,Centro-oeste,0,Sul,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,TRUE,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,0,,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Mais de 10 anos,14000
3,zzbqh3uy7yk7k9qmkzzbqtb4s9faqspl,27,25-29,Masculino,Branca,Não,,FALSE,,TRUE,Minas Gerais (MG),MG,Sudeste,1,,Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,FALSE,Empregado (CLT),Setor Automotivo,Acima de 3.000,0,,Cientista de Dados/Data Scientist,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,14000
4,zzaf1m95yan929rb94wzzaf1mekhvhpg,46,45-49,Feminino,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,FALSE,,TRUE,Pará (PA),PA,Norte,1,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,TRUE,Servidor Público,Setor Público,de 101 a 500,0,,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,de R$ 6.001/mês a R$ 8.000/mês,Não tenho experiência na área de dados,Mais de 10 anos,7000
5,zz0nlhbd8oxyiyxzz0nlh7g4xkiaza5v,32,30-34,Feminino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,FALSE,,TRUE,Ceará (CE),CE,Nordeste,1,,Pós-graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,FALSE,Servidor Público,Educação,Acima de 3.000,0,,Professor,Pleno,de R$ 2.001/mês a R$ 3.000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,2500
6,zytlxsdgalh22cgrijvzytlxa49i8yzx,21,17-21,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,FALSE,,TRUE,São Paulo (SP),SP,Sudeste,1,,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,FALSE,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,0,,Analista de BI/BI Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Menos de 1 ano,5000
7,zyc0twzno2sm5or5ovoxzyc0twz0300d,31,30-34,Feminino,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,FALSE,,TRUE,Rio Grande do Sul (RS),RS,Sul,1,,Graduação/Bacharelado,Ciências Sociais,FALSE,Empregado (CLT),Tecnologia/Fábrica de Software,de 6 a 10,0,,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Menos de 1 ano,2500
8,zy4o5dk6iuxpdwgzy4o58xvd6ykwohrj,33,30-34,Masculino,Branca,Não,,FALSE,,TRUE,São Paulo (SP),SP,Sudeste,1,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,FALSE,Empregado (CLT),Tecnologia/Fábrica de Software,Acima de 3.000,0,,Analista de BI/BI Analyst,Sênior,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,7000
9,zxc3d314cn1c2ovmzxc34ha7nkw1na3j,,55+,Feminino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,FALSE,,TRUE,Bahia (BA),BA,Nordeste,1,,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,FALSE,Empregado (CLT),Educação,Acima de 3.000,0,,Professor,Pleno,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,10000
