ID	Quanto tempo de experiência na área de dados você tem?	Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?	Você está satisfeito na sua empresa atual?	Qual o principal motivo da sua insatisfação com a empresa atual?	Você participou de entrevistas de emprego nos últimos 6 meses?	Você pretende mudar de emprego nos próximos 6 meses?	Quais os principais critérios que você leva em consideração no momento de decidir onde trabalhar?	Atualmente qual a sua forma de trabalho?	Qual a forma de trabalho ideal para você?	Caso sua empresa decida pelo modelo 100% presencial qual será sua atitude?	Sua empresa passu por Layoff em 2022?	Atuacao	Quais das linguagens listadas abaixo você utiliza no trabalho?
zzqzz3l9ily8nuo2m7wyzzqzz3w48o96	de 1 a 2 anos	de 7 a 10 anos	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Benefícios	Modelo 100% presencial	Modelo híbrido com dias fixos de trabalho presencial	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Engenharia de Dados	SQL
zzls2oftfn9law393oezzls2ofhvfpzd	de 3 a 4 anos	Menos de 1 ano	FALSE	Falta de oportunidade de crescimento no emprego atual	Sim, fiz entrevistas mas não fui aprovado	Estou em busca de oportunidades dentro ou fora do Brasil	Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Reputação que a empresa tem no mercado	Modelo 100% presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Gestor	
zzdwqzfqqp1ypc7ps6m0hzzdwqz292yi	de 3 a 4 anos	Mais de 10 anos	FALSE	Falta de oportunidade de crescimento no emprego atual	Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Flexibilidade de trabalho remoto	Modelo híbrido com dias fixos de trabalho presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	 desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.	1
zzbqh3uy7yk7k9qmkzzbqtb4s9faqspl	de 4 a 6 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Sim, fui aprovado e mudei de emprego	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	 desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.	0
zzaf1m95yan929rb94wzzaf1mekhvhpg	Não tenho experiência na área de dados	Mais de 10 anos	FALSE	Falta de oportunidade de crescimento no emprego atual, Falta de maturidade analítica na empresa, O clima de trabalho/ambiente não é bom	Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional	Modelo 100% presencial	Modelo 100% presencial	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Outra atuação	SQL
zz0nlhbd8oxyiyxzz0nlh7g4xkiaza5v	Não tenho experiência na área de dados	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	FALSE	Gostaria de trabalhar em em outra área de atuação, Gostaria de receber mais benefícios, Salário atual não corresponde ao mercado	Sim, fiz entrevistas mas não fui aprovado	Estou em busca de oportunidades dentro ou fora do Brasil	Remuneração/Salário, Benefícios, Plano de carreira e oportunidades de crescimento profissional	Modelo 100% presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Outra atuação	Não utilizo nenhuma das linguagens listadas
zytlxsdgalh22cgrijvzytlxa49i8yzx	de 1 a 2 anos	Menos de 1 ano	TRUE		Sim, fui aprovado e mudei de emprego	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional, Qualidade dos gestores e líderes	Modelo híbrido com dias fixos de trabalho presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL, Python, SAS/Stata
zyc0twzno2sm5or5ovoxzyc0twz0300d	Menos de 1 ano	Menos de 1 ano	FALSE	Gostaria de trabalhar em em outra área de atuação, Salário atual não corresponde ao mercado, Falta de oportunidade de crescimento no emprego atual	Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Estou em busca de oportunidades dentro ou fora do Brasil	Remuneração/Salário, Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto	Modelo 100% presencial	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Outra atuação	SQL, JavaScript
zy4o5dk6iuxpdwgzy4o58xvd6ykwohrj	Menos de 1 ano	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Sim, fui aprovado e mudei de emprego	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário, Flexibilidade de trabalho remoto	Modelo 100% remoto	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado	Análise de Dados	SQL, Visual Basic/VBA
zxc3d314cn1c2ovmzxc34ha7nkw1na3j	Mais de 10 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Flexibilidade de trabalho remoto	Modelo híbrido com dias fixos de trabalho presencial	Modelo híbrido com dias fixos de trabalho presencial	Vou procurar outra oportunidade no modelo híbrido ou remoto	Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado	Outra atuação	SQL
